Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Grace CROWLEY,https://ifsc.results.info/#/athlete/11517,Women,-,2019,23,20,AUS
Erica VELEV,https://ifsc.results.info/#/athlete/2445,Women,-,2018,32,21,CAN
Di NIU,https://ifsc.results.info/#/athlete/2941,Women,-,2011,78,27,CHN
Yafei ZHOU,https://ifsc.results.info/#/athlete/13611,Women,-,2022,10,19,CHN
Mi YANG,https://ifsc.results.info/#/athlete/12071,Women,-,2019,7,22,CHN
Yuju MOU,https://ifsc.results.info/#/athlete/13609,Women,-,2023,7,18,CHN
Shengyan WANG,https://ifsc.results.info/#/athlete/13606,Women,-,2022,10,23,CHN
Shaoqin ZHANG,https://ifsc.results.info/#/athlete/14415,Women,-,2023,8,24,CHN
Lijuan DENG,https://ifsc.results.info/#/athlete/3014,Women,-,2018,20,23,CHN
Andrea ROJAS,https://ifsc.results.info/#/athlete/3209,Women,-,2009,94,28,ECU
Abigail RUANO,https://ifsc.results.info/#/athlete/12006,Women,-,2019,15,18,ECU
Capucine VIGLIONE,https://ifsc.results.info/#/athlete/569,Women,170,2016,52,21,FRA
Victoire ANDRIER,https://ifsc.results.info/#/athlete/511,Women,170,2013,59,27,FRA
Aurelia SARISSON,https://ifsc.results.info/#/athlete/488,Women,167,2012,71,26,FRA
Lison GAUTRON,https://ifsc.results.info/#/athlete/615,Women,-,2018,21,21,FRA
Manon LEBON,https://ifsc.results.info/#/athlete/11594,Women,-,2019,23,18,FRA
Franziska RITTER,https://ifsc.results.info/#/athlete/3120,Women,164,2018,37,20,GER
Nurul IQAMAH,https://ifsc.results.info/#/athlete/3290,Women,-,2013,45,28,INA
Rajiah SALLSABILLAH,https://ifsc.results.info/#/athlete/3311,Women,-,2017,29,24,INA
Desak MADE RITA KUSUMA DEWI,https://ifsc.results.info/#/athlete/11357,Women,-,2018,16,23,INA
Shivpreet PANNU,https://ifsc.results.info/#/athlete/2648,Women,-,2017,16,23,IND
Giulia RANDI,https://ifsc.results.info/#/athlete/966,Women,-,2016,55,21,ITA
Beatrice COLLI,https://ifsc.results.info/#/athlete/1024,Women,171,2018,55,19,ITA
Natsumi HAYASHI,https://ifsc.results.info/#/athlete/13438,Women,-,2022,13,32,JPN
Ai TAKEUCHI,https://ifsc.results.info/#/athlete/13436,Women,-,2022,17,18,JPN
Fumika KAWAKAMI,https://ifsc.results.info/#/athlete/13045,Women,-,2021,19,17,JPN
Haruka KANETANI,https://ifsc.results.info/#/athlete/14073,Women,-,2022,8,17,JPN
Karin HAYASHI,https://ifsc.results.info/#/athlete/13437,Women,-,2022,18,18,JPN
Anna BALARSHINA,https://ifsc.results.info/#/athlete/13058,Women,-,2021,9,16,KAZ
Assel MARLENOVA,https://ifsc.results.info/#/athlete/3364,Women,-,2011,67,27,KAZ
Tamara ULZHABAYEVA,https://ifsc.results.info/#/athlete/3357,Women,-,2001,121,36,KAZ
Heeju NOH,https://ifsc.results.info/#/athlete/11360,Women,165,2018,15,19,KOR
Nawoo CHOI,https://ifsc.results.info/#/athlete/2082,Women,163,2017,16,21,KOR
Jimin JEONG,https://ifsc.results.info/#/athlete/13154,Women,-,2018,20,19,KOR
Seoyeon PARK,https://ifsc.results.info/#/athlete/2105,Women,160,2016,15,21,KOR
Hanareum SUNG,https://ifsc.results.info/#/athlete/13158,Women,158,2022,17,18,KOR
Yena PI,https://ifsc.results.info/#/athlete/2110,Women,-,2017,6,21,KOR
Ye Jin JUNG,https://ifsc.results.info/#/athlete/14470,Women,-,2023,7,19,KOR
Sarah TETZLAFF,https://ifsc.results.info/#/athlete/3759,Women,173,2017,33,23,NZL
Jorja RANGI,https://ifsc.results.info/#/athlete/14049,Women,-,2022,4,21,NZL
Patrycja CHUDZIAK,https://ifsc.results.info/#/athlete/2857,Women,168,2011,104,26,POL
Aleksandra MIROSLAW,https://ifsc.results.info/#/athlete/2848,Women,162,2009,97,29,POL
Anna BROZEK,https://ifsc.results.info/#/athlete/2855,Women,-,2011,104,28,POL
Aleksandra KALUCKA,https://ifsc.results.info/#/athlete/2878,Women,164,2015,89,22,POL
Natalia KALUCKA,https://ifsc.results.info/#/athlete/2879,Women,165,2015,95,22,POL
Emma HUNT,https://ifsc.results.info/#/athlete/1999,Women,173,2018,24,20,USA
Piper KELLY,https://ifsc.results.info/#/athlete/1888,Women,-,2016,22,24,USA
Callie CLOSE,https://ifsc.results.info/#/athlete/2000,Women,182,2018,20,19,USA
Sophia CURCIO,https://ifsc.results.info/#/athlete/13025,Women,159,2021,17,17,USA
Hayden BARTON,https://ifsc.results.info/#/athlete/13851,Men,-,2022,4,20,AUS
Pierre REBREYEND,https://ifsc.results.info/#/athlete/494,Men,180,2012,38,26,FRA
Sabri SABRI,https://ifsc.results.info/#/athlete/3274,Men,-,2011,20,28,INA
Pangeran SEPTO WIBOWO SIBURIAN,https://ifsc.results.info/#/athlete/3316,Men,-,2017,15,29,INA
Aditya TRI SYAHRIA,https://ifsc.results.info/#/athlete/14087,Men,-,2022,2,20,INA
Raharjati NURSAMSA,https://ifsc.results.info/#/athlete/13547,Men,-,2022,5,23,INA
Aswin Kristanto RAMASKI,https://ifsc.results.info/#/athlete/14088,Men,-,2022,2,18,INA
Hinayah MUHAMMAD,https://ifsc.results.info/#/athlete/3318,Men,-,2017,15,28,INA
Alisher MURAT,https://ifsc.results.info/#/athlete/10820,Men,-,2012,19,26,KAZ
Beknur ALTYNBEKOV,https://ifsc.results.info/#/athlete/3397,Men,-,2016,29,22,KAZ
Matvey YESSIPOV,https://ifsc.results.info/#/athlete/3410,Men,-,2017,25,20,KAZ
